Restaurant ID,Restaurant Name,City,Opening Hours
REST0001,Biryani Blues,Pune,10:00 AM - 22:00 PM
REST0002,Punjabi Rasoi,Vadodara,10:00 AM - 22:00 PM
REST0003,The Royal Punjabi,Patna,11:00 AM - 22:00 PM
REST0004,Saffron Restaurant,Nagpur,11:00 AM - 22:00 PM
REST0005,Chutney's Delights,Bhopal,11:00 AM - 23:00 PM
REST0006,Kailash Parbat,Ahmedabad,12:00 AM - 20:00 PM
REST0007,Gulati Restaurant,Indore,10:00 AM - 22:00 PM
REST0008,Saravana Bhavan,Surat,10:00 AM - 22:00 PM
REST0009,Indian Tandoor,Bhopal,12:00 AM - 22:00 PM
REST0010,Sagar Ratna,Kolkata,10:00 AM - 22:00 PM
REST0011,Tandoor Mahal,Indore,12:00 AM - 22:00 PM
REST0012,Dakshin,Kolkata,10:00 AM - 23:00 PM
REST0013,The Spice Route,Kolkata,10:00 AM - 20:00 PM
REST0014,Moti Mahal,Vadodara,10:00 AM - 20:00 PM
REST0015,Maharaja Restaurant,Kolkata,10:00 AM - 22:00 PM
REST0016,Gajalee,Mumbai,10:00 AM - 22:00 PM
REST0017,Bikanervala,Chennai,11:00 AM - 22:00 PM
REST0018,Shree Thaker Bhojanalay,Visakhapatnam,10:00 AM - 23:00 PM
REST0019,Haldiram's,Chandigarh,10:00 AM - 23:00 PM
REST0020,Rajdhani Thali,Kochi,11:00 AM - 23:00 PM
REST0021,Kailash Hotel,Nagpur,12:00 AM - 23:00 PM
REST0022,Shree Krishna Sweets,Agra,10:00 AM - 22:00 PM
REST0023,Tandoori Flames,Lucknow,11:00 AM - 22:00 PM
REST0024,Zambar,Hyderabad,10:00 AM - 23:00 PM
REST0025,Punjabi By Nature,Bhopal,12:00 AM - 20:00 PM
REST0026,Chai Pani,Jaipur,10:00 AM - 23:00 PM
REST0027,Sweets of India,Patna,11:00 AM - 21:00 PM
REST0028,The Bombay Canteen,Visakhapatnam,10:00 AM - 20:00 PM
REST0029,Bistro 37,Delhi,11:00 AM - 20:00 PM
REST0030,Mangalore Pearl,Agra,10:00 AM - 23:00 PM
REST0031,Kebabs & Curries,Kochi,10:00 AM - 20:00 PM
REST0032,Taj Restaurant,Hyderabad,10:00 AM - 22:00 PM
REST0033,Rangla Punjab,Ahmedabad,12:00 AM - 22:00 PM
REST0034,Urban Tandoor,Kolkata,10:00 AM - 23:00 PM
REST0035,Pind Balluchi,Patna,12:00 AM - 20:00 PM
REST0036,Mughal Mahal,Mumbai,12:00 AM - 20:00 PM
REST0037,Indian Oven,Pune,12:00 AM - 20:00 PM
REST0038,Kebab Gali,Lucknow,10:00 AM - 20:00 PM
REST0039,Sultan's Palace,Agra,10:00 AM - 23:00 PM
REST0040,Tandoor House,Indore,11:00 AM - 23:00 PM
REST0041,Kashmir Shawl Restaurant,Vadodara,11:00 AM - 22:00 PM
REST0042,Dilli Haat,Vadodara,12:00 AM - 22:00 PM
REST0043,Balle Balle,Kochi,10:00 AM - 23:00 PM
REST0044,Zafran Restaurant,Indore,11:00 AM - 22:00 PM
REST0045,Balle Balle Dhaba,Ahmedabad,12:00 AM - 20:00 PM
REST0046,The Chaiwala,Hyderabad,11:00 AM - 22:00 PM
REST0047,Dastarkhwan,Indore,10:00 AM - 20:00 PM
REST0048,Kebabs n More,Patna,11:00 AM - 20:00 PM
REST0049,Kashi Chat,Pune,10:00 AM - 23:00 PM
REST0050,The Curry House,Kolkata,10:00 AM - 21:00 PM
